odoo_product_name,odoo_category_name,raw_classification,wansoft_code,wansoft_product_name,wansoft_department,wansoft_lifecycle_candidate,similarity_score,suggested_action
Absolut Azul 750 Ml,Vodka,alcoholic_inventory,1000-106-102-108-001,Absolut Azul 750 Ml,Destilados,active_operational,100.0,assign_default_code
Aceite Vegetal,Aceites,ingredient_oil,1000-104-100-004,Aceite Vegetal,Aceites,active_operational,100.0,assign_default_code
Achiote,"Semillas, Especias y Condimentos",ingredient_condiment,1000-104-102-018,Achiote,"Semillas, Especias Y Condimentos",active_operational,100.0,assign_default_code
Agua de Frambuesa,Agua,liquid_inventory,1000-105-100-013,Agua de Frambuesa,agua,active_operational,100.0,assign_default_code
Agua de Horchata,Agua,liquid_inventory,1000-105-100-004,Agua de Horchata,agua,active_operational,100.0,assign_default_code
Agua de Mango Maracuya,Agua,liquid_inventory,1000-105-100-008,Agua de Mango Maracuya,Concentrados,active_operational,100.0,assign_default_code
Amaretto Disaronno 700 Ml,Licores,alcoholic_inventory,1000-106-102-104-001,Amaretto Disaronno 700 Ml,Destilados,active_operational,100.0,assign_default_code
Anis Cadenas 750 Ml,Licores,alcoholic_inventory,1000-106-102-104-002,Anis Cadenas 750 Ml,Destilados,active_operational,100.0,assign_default_code
Anis Chinchon Dulce 1 Lt,Licores,alcoholic_inventory,1000-106-102-104-003,Anis Chinchon Dulce 1 Lt,Destilados,active_operational,100.0,assign_default_code
Anis Chinchon Seco 1 Lt,Licores,alcoholic_inventory,1000-106-102-104-004,Anis Chinchon Seco 1 Lt,Destilados,active_operational,100.0,assign_default_code
Aperol 700 Ml,Aperitivos,raw_review_manual,1000-106-102-100-007,Aperol 700 Ml,Destilados,active_operational,100.0,assign_default_code
Appleton Estate 750 Ml,Ron,alcoholic_inventory,1000-106-102-106-002,Appleton Estate 750 Ml,Destilados,active_operational,100.0,assign_default_code
Aros de Cebolla,Manufacturas,ingredient_fresh,2000-103-001,Aros De Cebolla,Manufacturas,active_operational,100.0,assign_default_code
Arrachera Ss Cab,Carne de res,ingredient_protein,1000-101-101-001,Arrachera Ss Cab,Carne De Res,active_operational,100.0,assign_default_code
Back Rib (Costillar),Carne de res,raw_review_manual,1000-101-101-002,Back Rib (Costillar),Carne De Res,active_operational,100.0,assign_default_code
Back Rib Limpio (Costillar),Carne de res,raw_review_manual,2000-101-101-002,Back Rib Limpio (Costillar),Carne De Res,active_operational,100.0,assign_default_code
Bobina chica papel higienico,Higiénicos desechables,raw_review_manual,1000-200-003-002,Bobina chica papel higienico,Higi??nicos desechables,active_operational,100.0,assign_default_code
Bolillo,Gastos Salon,raw_review_manual,1000-109-002,Bolillo,Pan,active_operational,100.0,assign_default_code
Bolsas de celofan 13x30 p/100,Material de Empaque,packaging_supply,1000-300-001-008,Bolsas de celofan 13x30 p/100,Material de Empaque,active_operational,100.0,assign_default_code
Buchanans Master 750 Ml,Whisky,raw_review_manual,1000-106-102-109-003,Buchanans Master 750 Ml,Destilados,active_operational,100.0,assign_default_code
Cabeza de Lomo de Cerdo,Puerco,raw_review_manual,1000-101-105-001,Cabeza de Lomo de Cerdo,Puerco,active_operational,100.0,assign_default_code
Cabrito,Cordero,raw_review_manual,1000-101-102-002,Cabrito,Cordero,active_operational,100.0,assign_default_code
Cafe Americano,Cafe y te,raw_review_manual,1000-104-104-005,Cafe Americano,Cafe Y Te,active_operational,100.0,assign_default_code
Cafe Descafeinado,Cafe y te,raw_review_manual,1000-104-104-006,Cafe Descafeinado,caf?? y te,active_operational,100.0,assign_default_code
Cafe Espresso Forte,Cafe y te,ingredient_protein,1000-104-104-003,Cafe Espresso Forte,Caf?? y te,active_operational,100.0,assign_default_code
Cafe Kahlua 1 Lt,Licores,alcoholic_inventory,1000-106-102-104-007,Cafe Kahlua 1 Lt,Destilados,active_operational,100.0,assign_default_code
Cafe Lungo Decaffeinato,Cafe y te,raw_review_manual,1000-104-104-004,Cafe Lungo Decaffeinato,Caf?? y te,active_operational,100.0,assign_default_code
Cafe Lungo Forte,Cafe y te,raw_review_manual,1000-104-104-001,Cafe Lungo Forte,Caf?? y te,active_operational,100.0,assign_default_code
Cafe Ristretto Professional,Cafe y te,raw_review_manual,1000-104-104-002,Cafe Ristretto Professional,Caf?? y te,active_operational,100.0,assign_default_code
Camaron 80/90 Con Cabeza,Mariscos,alcoholic_inventory,1000-101-103-018,Camaron 80/90 Con Cabeza,Mariscos,active_operational,100.0,assign_default_code
Campari Bitter 750 Ml,Aperitivos,raw_review_manual,1000-106-102-100-001,Campari Bitter 750 Ml,Destilados,active_operational,100.0,assign_default_code
Cebolla en Polvo,"Semillas, Especias y Condimentos",ingredient_condiment,1000-104-102-051,Cebolla en Polvo,Semillas especias y condimentos,active_operational,100.0,assign_default_code
Centenario Reposado 950 Ml,Tequila,alcoholic_inventory,1000-106-102-107-005,Centenario Reposado 950 Ml,Destilados,active_operational,100.0,assign_default_code
Chambarete,Carne de res,raw_review_manual,1000-101-101-036,Chambarete,Carne De Res,active_operational,100.0,assign_default_code
Chartreuse Verde 700 Ml,Licores,alcoholic_inventory,1000-106-102-104-008,Chartreuse Verde 700 Ml,Destilados,active_operational,100.0,assign_default_code
Cheesecake marmoleado,PV Postres,raw_review_manual,1000-108-101-005,Cheesecake Marmoleado,Pasteles,active_operational,100.0,assign_default_code
Chile Poblano,Frutas y Verduras,ingredient_fresh,1000-100-103-018,Chile Poblano,VERDURAS,active_operational,100.0,assign_default_code
Chinchon Campechano 1000 Ml,Licores,alcoholic_inventory,1000-106-102-104-028,Chinchon Campechano 1000 Ml,Destilados,active_operational,100.0,assign_default_code
Coca Zero Mini,Refrescos,raw_review_manual,1000-105-203-007,Coca Zero Mini,refrescos,active_operational,100.0,assign_default_code
Cofia reutilizable,Higiénicos desechables,raw_review_manual,1000-300-002-004,cofia reutilizable,Eq. Seguridad e Higiene,active_operational,100.0,assign_default_code
Cofia reutilizable,Higiénicos desechables,raw_review_manual,1000-300-002-004,cofia reutilizable,Eq. Seguridad e Higiene,active_operational,100.0,assign_default_code
Complice Origenes 750 Ml,Mezcal,alcoholic_inventory,1000-106-102-105-013,Complice Origenes 750 Ml,Destilados,active_operational,100.0,assign_default_code
Controy 1 Lt,Licores,alcoholic_inventory,1000-106-102-104-010,Controy 1 Lt,Destilados,active_operational,100.0,assign_default_code
Costilla,Carne de res,raw_review_manual,1000-101-101-005,Costilla,Carne De Res,active_operational,100.0,assign_default_code
Crema de Coco,Jugos,ingredient_dairy,1000-105-102-002,Crema de Coco,jugos,active_operational,100.0,assign_default_code
Detergente Liquido Neutro Multiusos,Químicos,raw_review_manual,1000-200-002-003,Detergente Liquido Neutro Multiusos,Qu??micos,active_operational,100.0,assign_default_code
Detergente en Pasta Lavaloza,Químicos,raw_review_manual,1000-200-002-002,Detergente en Pasta Lavaloza,Qu??micos,active_operational,100.0,assign_default_code
Don Pedro 1 Litro,Licores,alcoholic_inventory,1000-106-102-101-006,Don Pedro 1 Litro,Destilados,active_operational,100.0,assign_default_code
