source_system,source_location_id,location_name,normalized_location_name,location_usage_type,include_in_inventory_physical_views,include_in_company_inventory_views,company_mapping_status,location_review_status,current_source_row_count,current_stock_qty,proposed_company_source_key,proposed_mapped_company_name,review_decision,review_notes
odoo,22,Bodeg/Existencias,bodeg/existencias,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,79,14546.0400,,,pending_review,
odoo,268,FAMAQ/Existencias/Cocina,famaq/existencias/cocina,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,33,130.6700,,,pending_review,
odoo,259,FONDA/Existencias/Cocina,fonda/existencias/cocina,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,32,208.0100,,,pending_review,
odoo,37,Bodeg/Panadería y pastelería,bodeg/panadería y pastelería,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,31,1592.4800,,,pending_review,
odoo,244,FONDA/Existencias/Cocina,fonda/existencias/cocina,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,30,207.5700,,,pending_review,
odoo,627,FACY/Existencias/Cocina,facy/existencias/cocina,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,27,84.4300,,,pending_review,
odoo,240,FONDA/Existencias/Cocina,fonda/existencias/cocina,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,25,215.4200,,,pending_review,
odoo,320,TACOS/Existencias/Cocina,tacos/existencias/cocina,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,24,20.6600,,,pending_review,
odoo,267,FAMAQ/Existencias/Bar,famaq/existencias/bar,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,17,300.3600,,,pending_review,
odoo,376,FONDA/Existencias/Almacén,fonda/existencias/almacén,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,15,217.3400,,,pending_review,
odoo,258,FONDA/Existencias/Bar,fonda/existencias/bar,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,15,135.1700,,,pending_review,
odoo,243,FONDA/Existencias/Bar,fonda/existencias/bar,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,13,507.2100,,,pending_review,
odoo,239,FONDA/Existencias/Bar,fonda/existencias/bar,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,11,384.9800,,,pending_review,
odoo,373,FONDA/Existencias/Almacén,fonda/existencias/almacén,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,11,51.3500,,,pending_review,
odoo,32,Empan/Existencias,empan/existencias,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,10,1489.0700,,,pending_review,
odoo,626,FACY/Existencias/Bar,facy/existencias/bar,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,7,30.8200,,,pending_review,
odoo,629,FACY/Existencias/Parrilla,facy/existencias/parrilla,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,7,11.7600,,,pending_review,
odoo,41,Bodeg/PASTELERIA Y REPOSTERIA,bodeg/pasteleria y reposteria,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,6,134.6400,,,pending_review,
odoo,375,TACOS/Existencias/Almacen,tacos/existencias/almacen,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,6,12.4400,,,pending_review,
odoo,372,FONDA/Existencias/Almacén,fonda/existencias/almacén,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,5,72.0000,,,pending_review,
odoo,321,TACOS/Existencias/Parrilla,tacos/existencias/parrilla,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,4,3.5500,,,pending_review,
odoo,124,FAMAQ/Existencias,famaq/existencias,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,3,8.0000,,,pending_review,
odoo,38,Bodeg/Embutidos,bodeg/embutidos,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,3,4.6700,,,pending_review,
odoo,319,TACOS/Existencias/Bar,tacos/existencias/bar,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,3,2.2600,,,pending_review,
odoo,269,FAMAQ/Existencias/Parrilla,famaq/existencias/parrilla,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,3,1.6500,,,pending_review,
odoo,241,FONDA/Existencias/Parrilla,fonda/existencias/parrilla,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,2,55.4200,,,pending_review,
odoo,618,FACY/Existencias,facy/existencias,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,1,2.0000,,,pending_review,
odoo,377,FAMAQ/Existencias/Almacén,famaq/existencias/almacén,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,1,0.1000,,,pending_review,
odoo,271,FAMAQ/Existencias/Cava,famaq/existencias/cava,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,0,,,,pending_review,
odoo,260,FONDA/Existencias/Parrilla,fonda/existencias/parrilla,internal_or_unknown,1,0,pending_location_mapping,needs_governance_review,0,,,,pending_review,
